0.0,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,7442,10177,8224,10482,10058,9199,9740,10160,9384,10920,10308,9711,10671,10330,9707,10417,10192,9739,10330,9547,
The Telegraph,11721,10807,9809,11521,10960,10087,10627,11116,10529,11804,11289,10690,11527,11373,10820,11319,11149,10576,11225,10560,
ESPN,10666,10820,7372,11217,10534,9944,10465,10924,10061,11771,11056,10303,11459,11272,10558,11097,10938,10483,11100,10378,
Huffington Post,11267,10448,9131,10817,10317,9596,9989,10477,9869,11320,10752,9956,10973,10781,10251,10649,10610,10055,10637,10018,
Fox News,11688,10888,9518,11436,10533,10074,10603,10974,10324,11761,11028,10533,11501,11132,10712,11069,10930,10596,11082,10359,
BBC News (UK),12427,11646,10424,12295,11575,10642,11348,11885,11188,12546,12042,11293,12252,12022,11552,11983,11729,11343,11942,11259,
BuzzFeed,12058,11385,10121,11887,11350,10548,10766,11512,10866,12229,11696,10891,11807,11790,11171,11621,11520,10983,11547,10982,
The New York Times,11647,10895,9618,11426,10693,9975,10405,10786,10303,11779,11177,10385,11505,11259,10683,11089,10915,10521,11119,10315,
Yahoo,12089,11438,9960,11933,11245,10485,10970,11460,10599,12275,11685,10952,12052,11797,11209,11587,11475,11117,11463,10912,
The Guardian ,10867,10098,9042,10634,9989,9187,9769,10118,9555,10779,10415,9788,10657,10473,9831,10362,10277,9742,10296,9639,
NBC News,11363,10537,9314,11123,10327,9724,10222,10535,10048,11419,10597,10268,11072,10769,10435,10868,10605,10274,10725,10103,
Forbes,11923,11286,9977,11797,11418,10482,10898,11516,10765,12192,11670,10550,11852,11699,11065,11508,11519,10991,11472,10826,
Daily Mail Online,11159,10372,9244,10910,10286,9549,9981,10437,9926,11298,10710,10036,10731,10754,10237,10737,10560,9970,10657,10015,
ABC News,10957,10338,9192,10878,10098,9456,9981,10354,9845,11247,10523,10038,10832,10287,10214,10630,10367,10039,10639,9881,
Business Insider,11396,11116,9816,11591,10978,10276,10633,11096,10433,11954,11448,10555,11643,11410,10572,11248,11230,10747,11193,10589,
Washington Post,11207,10531,9407,11064,10506,9782,10242,10629,10037,11423,10838,10249,11110,10902,10393,10701,10762,10208,10728,10091,
CNN,11335,10660,9444,11192,10449,9785,10333,10714,10093,11533,10815,10279,11203,10926,10459,10829,10407,10352,10845,10150,
The Independent,12118,11259,10076,11896,11290,10450,10932,11507,10868,12180,11683,10868,11845,11716,11153,11584,11536,10823,11561,10905,
Mashable,11508,10714,9389,11151,10656,9867,10241,10727,10055,11539,11017,10191,11158,11067,10425,10944,10854,10329,10624,10328,
Wall Street Journal,12037,11282,9990,11799,11204,10473,10945,11397,10695,12157,11598,10921,11891,11642,10982,11449,11388,10986,11441,10587,

0.03,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,0,0,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,
The Telegraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESPN,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
BBC News (UK),4,0,4,0,1,3,0,0,0,0,1,2,0,0,0,2,1,2,0,5,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yahoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
